2026-05-16 14:41:23,533 | INFO | main | App starting
2026-05-16 14:41:23,557 | INFO | services.clear_storage | Deleted expired folder: 1aaa4f (age: 4 days, 1:34:18.246832)
2026-05-16 14:41:23,557 | INFO | services.clear_storage | Storage cleanup done — 1 folder(s) deleted
2026-05-16 14:41:27,733 | INFO | main |  app shutting down ...
2026-05-16 14:41:29,527 | INFO | main | App starting
2026-05-16 14:41:29,556 | INFO | services.clear_storage | Storage cleanup done — 0 folder(s) deleted
2026-05-16 14:43:48,401 | INFO | main |  app shutting down ...
2026-05-16 14:43:50,370 | INFO | main | App starting
2026-05-16 14:43:50,378 | INFO | services.clear_storage | Storage cleanup done — 0 folder(s) deleted
2026-05-16 14:44:00,660 | INFO | main |  app shutting down ...
2026-05-16 14:44:02,996 | INFO | main | App starting
2026-05-16 14:44:03,013 | INFO | services.clear_storage | Storage cleanup done — 0 folder(s) deleted
2026-05-16 14:44:04,824 | INFO | main |  app shutting down ...
2026-05-16 14:44:06,557 | INFO | main | App starting
2026-05-16 14:44:06,565 | INFO | services.clear_storage | Storage cleanup done — 0 folder(s) deleted
2026-05-16 14:44:06,447 | INFO | main |  app shutting down ...
2026-05-16 14:44:08,105 | INFO | main | App starting
2026-05-16 14:44:08,113 | INFO | services.clear_storage | Storage cleanup done — 0 folder(s) deleted
2026-05-16 14:44:13,517 | INFO | main |  app shutting down ...
2026-05-16 14:44:59,677 | INFO | main | App starting
2026-05-16 14:44:59,686 | INFO | services.clear_storage | Storage cleanup done — 0 folder(s) deleted
2026-05-16 14:48:33,638 | INFO | main |  app shutting down ...
2026-05-16 14:48:36,002 | INFO | main | App starting
2026-05-16 14:48:36,004 | INFO | services.clear_storage | Storage cleanup done — 0 folder(s) deleted
2026-05-16 14:50:30,616 | INFO | main |  app shutting down ...
2026-05-16 14:50:31,962 | INFO | main | App starting
2026-05-16 14:50:31,964 | INFO | services.clear_storage | Storage cleanup done — 0 folder(s) deleted
2026-05-16 14:50:35,161 | INFO | main |  app shutting down ...
2026-05-16 14:50:36,423 | INFO | main | App starting
2026-05-16 14:50:36,425 | INFO | services.clear_storage | Storage cleanup done — 0 folder(s) deleted
2026-05-16 14:51:02,139 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_header_field with data[42:61]
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_header_value with data[63:99]
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_part_data with data[103:109]
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_header_field with data[153:172]
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_header_value with data[174:210]
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_part_data with data[214:220]
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_header_field with data[264:283]
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_header_value with data[285:313]
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_part_data with data[317:323]
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_header_field with data[367:386]
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_header_value with data[388:417]
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_part_data with data[421:427]
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 14:51:02,142 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 14:51:02,143 | DEBUG | python_multipart.multipart | Calling on_header_field with data[471:490]
2026-05-16 14:51:02,143 | DEBUG | python_multipart.multipart | Calling on_header_value with data[492:540]
2026-05-16 14:51:02,143 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 14:51:02,143 | DEBUG | python_multipart.multipart | Calling on_header_field with data[542:554]
2026-05-16 14:51:02,143 | DEBUG | python_multipart.multipart | Calling on_header_value with data[556:564]
2026-05-16 14:51:02,143 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 14:51:02,143 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 14:51:02,143 | DEBUG | python_multipart.multipart | Calling on_part_data with data[568:5573]
2026-05-16 14:51:02,143 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 14:51:02,143 | DEBUG | python_multipart.multipart | Calling on_end with no data
2026-05-16 14:51:02,150 | INFO | routes.report_gen |  the filetype is valid
2026-05-16 14:51:02,161 | INFO | services.validation | Starting the data validation process
2026-05-16 14:51:02,204 | INFO | services.validation | Validating dataframe not empty : passed
2026-05-16 14:51:02,208 | INFO | services.validation | checking the mandatory columns : passed
2026-05-16 14:51:02,213 | INFO | services.validation | validating the columns type : passed
2026-05-16 14:51:02,216 | INFO | services.validation | Validating the expected values : Passed
2026-05-16 14:51:02,216 | INFO | services.validation | Validating the None , Nan ,condition : Passed
2026-05-16 14:51:02,217 | INFO | services.text_Validation | started the text validation 
2026-05-16 14:51:02,217 | INFO | services.text_Validation | started the text validation : PASSED
2026-05-16 14:51:02,217 | INFO | services.KPIs_calculation | starting the Kpi calculation
2026-05-16 14:51:02,254 | INFO | services.KPIs_calculation | Kpi calculated successfully
2026-05-16 14:51:02,254 | INFO | services.data_injection | Started data injection
2026-05-16 14:51:02,293 | INFO | services.data_injection | Data injected successfull
2026-05-16 14:51:02,293 | INFO | services.storing_aggTables | storing the aggregation tables ...
2026-05-16 14:51:02,317 | INFO | services.storing_aggTables | storage of the aggregation tables : PASSED
2026-05-16 14:55:42,975 | INFO | main | App starting
2026-05-16 14:55:42,982 | INFO | services.clear_storage | Storage cleanup done — 0 folder(s) deleted
2026-05-16 14:56:08,610 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 14:56:08,616 | DEBUG | python_multipart.multipart | Calling on_header_field with data[42:61]
2026-05-16 14:56:08,616 | DEBUG | python_multipart.multipart | Calling on_header_value with data[63:99]
2026-05-16 14:56:08,616 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 14:56:08,616 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 14:56:08,616 | DEBUG | python_multipart.multipart | Calling on_part_data with data[103:109]
2026-05-16 14:56:08,617 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
